Code,Name,Region,STT_CODE,Sample,SSP,SSN_Encrypted,filenames,Timezone
AL,Alabama,4,01,0,0,0,"{'Active Case Data': 'ADS.E2J.NDM1.TS01', 'Closed Case Data': 'ADS.E2J.NDM2.TS01', 'Aggregate Data': 'ADS.E2J.NDM3.TS01'}",America/Chicago
AK,Alaska,10,02,0,0,0,"{'Active Case Data': 'ADS.E2J.NDM1.TS02', 'Closed Case Data': 'ADS.E2J.NDM2.TS02', 'Aggregate Data': 'ADS.E2J.NDM3.TS02'}",America/Anchorage
AZ,Arizona,9,04,0,0,0,"{'Active Case Data': 'ADS.E2J.FTP1.TS04', 'Closed Case Data': 'ADS.E2J.FTP2.TS04', 'Aggregate Data': 'ADS.E2J.FTP3.TS04'}",America/Phoenix
AR,Arkansas,6,05,0,0,1,"{'Active Case Data': 'ADS.E2J.FTP1.TS05', 'Closed Case Data': 'ADS.E2J.FTP2.TS05', 'Aggregate Data': 'ADS.E2J.FTP3.TS05'}",America/Chicago
CA,California,9,06,1,1,0,"{'Active Case Data': 'ADS.E2J.FTP1.TS06', 'Closed Case Data': 'ADS.E2J.FTP2.TS06', 'Aggregate Data': 'ADS.E2J.FTP3.TS06', 'Stratum Data': 'ADS.E2J.FTP4.TS06', 'SSP Active Case Data': 'ADS.E2J.FTP1.MS06', 'SSP Closed Case Data': 'ADS.E2J.FTP2.MS06', 'SSP Aggregate Data': 'ADS.E2J.FTP3.MS06', 'SSP Stratum Data': 'ADS.E2J.FTP4.MS06'}",America/Los_Angeles
CO,Colorado,8,08,1,0,0,"{'Active Case Data': 'ADS.E2J.FTP1.TS08', 'Closed Case Data': 'ADS.E2J.FTP2.TS08', 'Aggregate Data': 'ADS.E2J.FTP3.TS08', 'Stratum Data': 'ADS.E2J.FTP4.TS08'}",America/Denver
CT,Connecticut,1,09,1,0,1,"{'Active Case Data': 'ADS.E2J.NDM1.TS09', 'Closed Case Data': 'ADS.E2J.NDM2.TS09', 'Aggregate Data': 'ADS.E2J.NDM3.TS09', 'Stratum Data': 'ADS.E2J.NDM4.TS09'}",America/New_York
DE,Delaware,3,10,0,0,0,"{'Active Case Data': 'ADS.E2J.NDM1.TS10', 'Closed Case Data': 'ADS.E2J.NDM2.TS10', 'Aggregate Data': 'ADS.E2J.NDM3.TS10'}",America/New_York
DC,District of Columbia,3,11,0,0,0,"{'Active Case Data': 'ADS.E2J.FTP1.TS11', 'Closed Case Data': 'ADS.E2J.FTP2.TS11', 'Aggregate Data': 'ADS.E2J.FTP3.TS11'}",America/New_York
FL,Florida,4,12,1,0,0,"{'Active Case Data': 'ADS.E2J.FTP1.TS12', 'Closed Case Data': 'ADS.E2J.FTP2.TS12', 'Aggregate Data': 'ADS.E2J.FTP3.TS12', 'Stratum Data': 'ADS.E2J.FTP4.TS12'}",America/New_York
GA,Georgia,4,13,0,0,0,"{'Active Case Data': 'ADS.E2J.NDM1.TS13', 'Closed Case Data': 'ADS.E2J.NDM2.TS13', 'Aggregate Data': 'ADS.E2J.NDM3.TS13'}",America/New_York
HI,Hawaii,9,15,0,0,0,"{'Active Case Data': 'ADS.E2J.NDM1.TS15', 'Closed Case Data': 'ADS.E2J.NDM2.TS15', 'Aggregate Data': 'ADS.E2J.NDM3.TS15'}",Pacific/Honolulu
ID,Idaho,10,16,0,0,0,"{'Active Case Data': 'ADS.E2J.NDM1.TS16', 'Closed Case Data': 'ADS.E2J.NDM2.TS16', 'Aggregate Data': 'ADS.E2J.NDM3.TS16'}",America/Boise
IL,Illinois,5,17,1,0,1,"{'Active Case Data': 'ADS.E2J.FTP1.TS17', 'Closed Case Data': 'ADS.E2J.FTP2.TS17', 'Aggregate Data': 'ADS.E2J.FTP3.TS17', 'Stratum Data': 'ADS.E2J.FTP4.TS17'}",America/Chicago
